id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Crown Up High,Block Theory,hip-hop,confident,0.78,95,0.72,0.86,0.08
12,Moonlit Sonata,Clara Voss,classical,melancholic,0.22,68,0.30,0.25,0.98
13,Back Road Memories,Dusty Hollow,country,nostalgic,0.55,96,0.65,0.60,0.74
14,Iron Collapse,Voltline,metal,angry,0.97,178,0.18,0.52,0.02
15,Velvet Hours,Sable Monroe,r&b,romantic,0.58,88,0.76,0.79,0.32
16,Reactor,Pulse Grid,edm,energetic,0.95,140,0.82,0.93,0.03
17,Island Sunrise,Sol Riddim,reggae,happy,0.63,82,0.89,0.77,0.55
18,Empty Rooms,Vera Cross,blues,sad,0.34,70,0.22,0.41,0.80
19,Wildflower Road,Aspen and June,folk,dreamy,0.40,86,0.68,0.48,0.88
20,Smoke Signal,Block Theory,trap,moody,0.72,140,0.35,0.84,0.06
